x,y,Mean1,Mean2,Diff,,,,,
93.75,27.25,1478.967168,1411.882244,67.08492428,,,,,
94,27.25,1514.561456,1439.851134,74.71032166,,,,,
94.25,27.25,1550.155743,1467.820024,82.33571903,,,,,
94.5,27.25,1569.784313,1481.324469,88.45984373,,,,,
94.75,27.25,1589.412882,1494.828914,94.58396842,,,,,
95,27.25,1574.332883,1476.925582,97.40730089,,,,,
95.25,27.25,1559.252883,1459.022249,100.2306334,,,,,
95.5,27.25,1518.168599,1422.62558,95.5430192,,,,,
95.75,27.25,1477.084315,1386.22891,90.85540504,,,,,
96,27.25,1445.809313,1356.452244,89.35706898,,,,,
96.25,27.25,1414.534311,1326.675578,87.85873292,,,,,
96.5,27.25,1318.21431,1236.454465,81.7598442,,,,,
96.75,27.25,1221.894308,1146.233353,75.66095547,,,,,
97,27.25,1213.550738,1138.423352,75.12738591,,,,,
88,27.5,1453.275028,1369.650024,83.62500316,,,,,
88.25,27.5,1404.504313,1333.330023,71.17428979,,,,,
88.5,27.5,1463.117527,1396.496134,66.62139263,,,,,
88.75,27.5,1521.73074,1459.662245,62.06849548,,,,,
91.75,27.5,1459.422168,1436.444467,22.97770091,,,,,
92,27.5,1370.921809,1345.805021,25.1167883,,,,,
92.25,27.5,1282.42145,1255.165574,27.2558757,,,,,
92.5,27.5,1327.127164,1295.163353,31.96381145,,,,,
92.75,27.5,1371.832878,1335.161131,36.67174721,,,,,
93,27.5,1385.726808,1342.549466,43.17734277,,,,,
93.25,27.5,1399.620738,1349.9378,49.68293834,,,,,
93.5,27.5,1413.557524,1356.929467,56.62805748,,,,,
93.75,27.5,1427.49431,1363.921134,63.57317662,,,,,
94,27.5,1450.215025,1379.608355,70.60667066,,,,,
94.25,27.5,1472.93574,1395.295576,77.6401647,,,,,
94.5,27.5,1497.913597,1413.901689,84.01190735,,,,,
94.75,27.5,1522.891453,1432.507803,90.38365,,,,,
95,27.5,1521.354311,1427.935026,93.41928484,,,,,
95.25,27.5,1519.817168,1423.362249,96.45491968,,,,,
95.5,27.5,1487.000026,1393.049469,93.95055686,,,,,
95.75,27.5,1454.182884,1362.73669,91.44619404,,,,,
96,27.5,1417.094669,1327.209467,89.88520197,,,,,
96.25,27.5,1380.006453,1291.682243,88.3242099,,,,,
96.5,27.5,1232.247165,1152.792241,79.45492367,,,,,
96.75,27.5,1084.487877,1013.902239,70.58563743,,,,,
