x,y,Mean,Sd,,,,,,
81.5,16.5,91.87766813,103.7184475,,,,,,
82.5,16.5,99.74630848,110.3843286,,,,,,
73.5,17.5,154.8527412,225.0324204,,,,,,
74.5,17.5,66.65003655,83.16594019,,,,,,
75.5,17.5,56.79029605,69.22750004,,,,,,
76.5,17.5,64.29437135,80.40145825,,,,,,
77.5,17.5,73.29051535,92.70862603,,,,,,
78.5,17.5,70.27580409,87.71981579,,,,,,
79.5,17.5,73.99830044,88.15640234,,,,,,
80.5,17.5,85.56034357,100.328429,,,,,,
81.5,17.5,92.57072368,101.6863263,,,,,,
82.5,17.5,98.09325658,105.316328,,,,,,
72.5,18.5,148.7205775,229.9344005,,,,,,
73.5,18.5,113.903125,166.0566506,,,,,,
74.5,18.5,59.82891082,76.66384161,,,,,,
75.5,18.5,59.99480994,78.37504674,,,,,,
76.5,18.5,72.44281798,93.91252686,,,,,,
77.5,18.5,82.64996345,110.2301423,,,,,,
78.5,18.5,82.89172149,111.6214897,,,,,,
79.5,18.5,81.86544225,103.8425739,,,,,,
80.5,18.5,94.32088816,114.5488996,,,,,,
81.5,18.5,106.145011,123.3212694,,,,,,
82.5,18.5,108.1296053,122.9920017,,,,,,
83.5,18.5,89.72604167,99.10439012,,,,,,
84.5,18.5,118.7040387,134.3333242,,,,,,
72.5,19.5,169.4881579,285.8528278,,,,,,
73.5,19.5,113.161239,171.270347,,,,,,
74.5,19.5,56.78130482,75.57530995,,,,,,
75.5,19.5,62.07752193,82.45878417,,,,,,
76.5,19.5,70.61471126,93.87338682,,,,,,
77.5,19.5,78.45484284,106.5637199,,,,,,
78.5,19.5,86.81637427,117.3156252,,,,,,
79.5,19.5,88.3025402,116.5360401,,,,,,
80.5,19.5,100.0075475,129.088235,,,,,,
81.5,19.5,110.0266265,140.8194364,,,,,,
82.5,19.5,113.4238304,142.4841481,,,,,,
83.5,19.5,100.4985563,116.7672093,,,,,,
84.5,19.5,98.46187865,106.5741401,,,,,,
85.5,19.5,112.9635051,128.0962046,,,,,,
70.5,20.5,66.32002924,133.0854724,,,,,,
71.5,20.5,81.50533626,146.790652,,,,,,
72.5,20.5,125.2302632,213.9082906,,,,,,
73.5,20.5,125.3286367,205.0076002,,,,,,
74.5,20.5,68.54252558,96.89564412,,,,,,
75.5,20.5,60.52885599,80.62566204,,,,,,
76.5,20.5,67.34301901,91.61564829,,,,,,
77.5,20.5,72.01451023,98.02915154,,,,,,
78.5,20.5,89.87077851,123.1531014,,,,,,
79.5,20.5,102.0785819,140.9752882,,,,,,
80.5,20.5,103.3362756,142.4866612,,,,,,
81.5,20.5,102.8140534,137.9864664,,,,,,
82.5,20.5,106.7477887,142.6933625,,,,,,
83.5,20.5,105.0394737,135.1360521,,,,,,
84.5,20.5,107.2650219,125.6352137,,,,,,
85.5,20.5,113.9543129,129.5112567,,,,,,
86.5,20.5,132.2972222,148.3337094,,,,,,
69.5,21.5,52.34758772,108.9298224,,,,,,
70.5,21.5,50.59409722,98.12431966,,,,,,
71.5,21.5,55.6409174,100.5707633,,,,,,
72.5,21.5,72.91332237,125.3600394,,,,,,
73.5,21.5,98.62918494,164.1474722,,,,,,
74.5,21.5,69.38634868,105.3175549,,,,,,
75.5,21.5,59.29936038,84.67410521,,,,,,
76.5,21.5,70.52562135,102.2992264,,,,,,
77.5,21.5,80.44566886,115.9457558,,,,,,
78.5,21.5,92.3650402,126.564548,,,,,,
79.5,21.5,108.0015716,149.077707,,,,,,
80.5,21.5,115.3136148,166.0902899,,,,,,
81.5,21.5,102.6693165,141.4602245,,,,,,
82.5,21.5,110.7429094,154.7833009,,,,,,
83.5,21.5,119.7404605,171.7961504,,,,,,
84.5,21.5,113.9149123,148.9124807,,,,,,
85.5,21.5,108.1848501,122.4982126,,,,,,
86.5,21.5,125.7647844,135.6775619,,,,,,
87.5,21.5,144.7561221,154.9276643,,,,,,
88.5,21.5,155.2203582,164.0006133,,,,,,
69.5,22.5,42.52496345,92.67485919,,,,,,
70.5,22.5,46.66038012,91.80148812,,,,,,
71.5,22.5,45.56059942,83.5505838,,,,,,
