x,y,Mean1,Mean2,Diff,,,,,
95,27.25,2215.747893,2106.822258,108.9256347,,,,,
95.25,27.25,2177.940035,2064.275591,113.6644448,,,,,
95.5,27.25,2098.391466,1993.251145,105.140321,,,,,
95.75,27.25,2018.842896,1922.226698,96.61619721,,,,,
96,27.25,1957.31718,1862.791142,94.52603785,,,,,
96.25,27.25,1895.791464,1803.355586,92.43587849,,,,,
96.5,27.25,1749.09289,1665.234473,83.85841664,,,,,
96.75,27.25,1602.394315,1527.113361,75.28095478,,,,,
97,27.25,1582.263601,1511.236692,71.02690897,,,,,
88,27.5,1697.042889,1662.308918,34.73397085,,,,,
88.25,27.5,1645.240745,1619.47225,25.76849511,,,,,
88.5,27.5,1715.069674,1693.765584,21.30409031,,,,,
88.75,27.5,1784.898603,1768.058917,16.83968551,,,,,
91.75,27.5,1828.097888,1834.078919,-5.981031138,,,,,
92,27.5,1713.822528,1713.75336,0.069167903,,,,,
92.25,27.5,1599.547169,1593.427802,6.119366944,,,,,
92.5,27.5,1684.533241,1674.532248,10.00099368,,,,,
92.75,27.5,1769.519314,1755.636694,13.88262041,,,,,
93,27.5,1808.932173,1785.526139,23.4060336,,,,,
93.25,27.5,1848.345032,1815.415585,32.92944679,,,,,
93.5,27.5,1892.581818,1849.406697,43.17512115,,,,,
93.75,27.5,1936.818605,1883.397809,53.42079551,,,,,
94,27.5,1993.18182,1927.945587,65.23623244,,,,,
94.25,27.5,2049.545035,1972.493366,77.05166937,,,,,
94.5,27.5,2099.056107,2011.427812,87.62829465,,,,,
94.75,27.5,2148.567179,2050.362259,98.20491993,,,,,
95,27.5,2138.85325,2035.31948,103.5337697,,,,,
95.25,27.5,2129.139321,2020.276701,108.8626195,,,,,
95.5,27.5,2064.268964,1960.383923,103.8850403,,,,,
95.75,27.5,1999.398607,1900.491145,98.90746113,,,,,
96,27.5,1929.401463,1833.380587,96.02087643,,,,,
96.25,27.5,1859.40432,1766.270028,93.13429172,,,,,
96.5,27.5,1639.921458,1557.906693,82.01476558,,,,,
96.75,27.5,1420.438597,1349.543357,70.89523945,,,,,
97,27.5,1451.501456,1382.163913,69.33754224,,,,,
88.25,27.75,1164.654307,1149.06224,15.59206731,,,,,
88.5,27.75,1254.157165,1242.563353,11.59381184,,,,,
88.75,27.75,1343.660022,1336.064466,7.595556381,,,,,
91.75,27.75,1565.865742,1579.751136,-13.88539428,,,,,
92,27.75,1426.652882,1433.316687,-6.663804998,,,,,
92.25,27.75,1287.440023,1286.882239,0.557784286,,,,,
92.5,27.75,1399.79788,1396.862242,2.935638158,,,,,
92.75,27.75,1512.155737,1506.842245,5.31349203,,,,,
93,27.75,1619.53074,1604.817804,14.71293632,,,,,
93.25,27.75,1726.905743,1702.793362,24.11238061,,,,,
93.5,27.75,1789.087173,1753.801142,35.28603155,,,,,
93.75,27.75,1851.268603,1804.808921,46.4596825,,,,,
94,27.75,1883.357175,1825.226696,58.13047892,,,,,
94.25,27.75,1915.445747,1845.644471,69.80127534,,,,,
94.5,27.75,1979.512177,1898.500031,81.01214524,,,,,
94.75,27.75,2043.578606,1951.355591,92.22301515,,,,,
95,27.75,2061.958606,1963.816702,98.14190468,,,,,
95.25,27.75,2080.338606,1976.277812,104.0607942,,,,,
95.5,27.75,2030.146462,1927.516702,102.6297596,,,,,
95.75,27.75,1979.954318,1878.755592,101.1987251,,,,,
96,27.75,1901.485746,1803.970031,97.515715,,,,,
96.25,27.75,1823.017175,1729.18447,93.83270495,,,,,
96.5,27.75,1530.750027,1450.578912,80.17111453,,,,,
96.75,27.75,1238.482878,1171.973354,66.50952411,,,,,
97,27.75,1320.73931,1253.091134,67.64817552,,,,,
97.25,27.75,1402.995741,1334.208914,68.78682692,,,,,
88.25,28,1153.142163,1145.31113,7.831033609,,,,,
88.5,28,1184.189306,1177.528352,6.660953784,,,,,
88.75,28,1215.236449,1209.745575,5.490873959,,,,,
92.75,28,1231.126449,1227.085575,4.040873815,,,,,
93,28,1368.166094,1357.466688,10.69940558,,,,,
93.25,28,1505.205739,1487.847802,17.35793735,,,,,
93.5,28,1568.755027,1540.977804,27.77722276,,,,,
93.75,28,1632.304315,1594.107807,38.19650817,,,,,
94,28,1672.170386,1623.125584,49.04480193,,,,,
94.25,28,1712.036457,1652.143362,59.89309569,,,,,
94.5,28,1801.614674,1731.158364,70.45631087,,,,,
94.75,28,1891.192892,1810.173366,81.01952604,,,,,
95,28,1872.671105,1788.146698,84.52440714,,,,,
95.25,28,1854.149318,1766.12003,88.02928824,,,,,
95.5,28,1833.577531,1743.433919,90.14361175,,,,,
95.75,28,1813.005744,1720.747809,92.25793526,,,,,
96,28,1693.666814,1606.265582,87.40123228,,,,,
96.25,28,1574.327884,1491.783355,82.5445293,,,,,
96.5,28,1376.239667,1302.721131,73.51853545,,,,,
96.75,28,1178.15145,1113.658908,64.49254159,,,,,
97,28,1180.961807,1118.182242,62.77956537,,,,,
97.25,28,1183.772165,1122.705576,61.06658916,,,,,
92.75,28.25,950.0971602,947.3289046,2.768255599,,,,,
93,28.25,1116.801448,1110.115573,6.685874848,,,,,
93.25,28.25,1283.505735,1272.902241,10.6034941,,,,,
93.5,28.25,1348.422881,1328.154467,20.26841397,,,,,
93.75,28.25,1413.340026,1383.406693,29.93333385,,,,,
94,28.25,1460.983597,1421.024472,39.95912495,,,,,
94.25,28.25,1508.627168,1458.642252,49.98491605,,,,,
94.5,28.25,1623.717172,1563.816696,59.9004765,,,,,
94.75,28.25,1738.807177,1668.99114,69.81603694,,,,,
95,28.25,1683.383604,1612.476694,70.9069096,,,,,
95.25,28.25,1627.960031,1555.962248,71.99778226,,,,,
95.5,28.25,1637.008601,1559.351137,77.65746386,,,,,
95.75,28.25,1646.057171,1562.740025,83.31714547,,,,,
96,28.25,1485.847882,1408.561132,77.28674955,,,,,
96.25,28.25,1325.638593,1254.38224,71.25635364,,,,,
96.5,28.25,1221.729307,1154.863351,66.86595636,,,,,
96.75,28.25,1117.820021,1055.344462,62.47555908,,,,,
97,28.25,1041.184305,983.2733496,57.91095523,,,,,
97.25,28.25,964.5485885,911.2022371,53.34635139,,,,,
93.25,28.5,1057.586446,1046.870016,10.71643006,,,,,
93.5,28.5,1108.210377,1090.360574,17.84980272,,,,,
93.75,28.5,1158.834307,1133.851132,24.98317539,,,,,
94,28.5,1216.094307,1183.987799,32.10650801,,,,,
94.25,28.5,1273.354308,1234.124467,39.22984063,,,,,
94.5,28.5,1424.350741,1375.511691,48.83905013,,,,,
94.75,28.5,1575.347174,1516.898914,58.44825963,,,,,
95,28.5,1496.238956,1435.486135,60.75282098,,,,,
95.25,28.5,1417.130739,1354.073356,63.05738233,,,,,
95.5,28.5,1414.16181,1346.623355,67.53845468,,,,,
95.75,28.5,1411.192881,1339.173354,72.01952703,,,,,
96,28.5,1287.448593,1220.193908,67.25468572,,,,,
96.25,28.5,1163.704306,1101.214461,62.48984441,,,,,
96.5,28.5,1084.635733,1024.719461,59.91627275,,,,,
96.75,28.5,1005.567161,948.2244601,57.3427011,,,,,
93.75,28.75,904.3285874,884.2955704,20.03301693,,,,,
94,28.75,971.2050179,946.9511268,24.25389107,,,,,
94.25,28.75,1038.081448,1009.606683,28.47476522,,,,,
94.5,28.75,1224.984309,1187.206686,37.77762377,,,,,
94.75,28.75,1411.88717,1364.806688,47.08048232,,,,,
95,28.75,1309.094309,1258.495576,50.59873236,,,,,
95.25,28.75,1206.301447,1152.184464,54.1169824,,,,,
95.5,28.75,1191.315019,1133.895574,57.4194455,,,,,
95.75,28.75,1176.328592,1115.606684,60.72190859,,,,,
96,28.75,1089.049305,1031.826683,57.22262189,,,,,
96.25,28.75,1001.770018,948.0466825,53.72333518,,,,,
96.5,28.75,947.5421596,894.5755704,52.96658915,,,,,
94.25,29,920.2893025,895.7722363,24.51706621,,,,,
94.5,29,1020.376448,988.035571,32.34087652,,,,,
94.75,29,1120.463592,1080.298906,40.16468683,,,,,
95,29,1112.492877,1068.583907,43.90897052,,,,,
95.25,29,1104.522162,1056.868907,47.65325422,,,,,
95.5,29,1075.433947,1025.283351,50.15059607,,,,,
95.75,29,1046.345732,993.697794,52.64793792,,,,,
96,29,968.3314455,917.4227933,50.90865226,,,,,
96.25,29,890.3171591,841.1477925,49.16936659,,,,,
96.5,29,855.4750154,806.90168,48.5733354,,,,,
94.5,29.25,815.7685857,788.8644565,26.90412927,,,,,
94.75,29.25,829.0400147,795.7911234,33.24889134,,,,,
95,29.25,915.8914456,878.6722369,37.21920869,,,,,
95.25,29.25,1002.742876,961.5533504,41.18952604,,,,,
95.5,29.25,959.5528741,916.6711275,42.88174664,,,,,
95.75,29.25,916.3628718,871.7889046,44.57396725,,,,,
96,29.25,847.6135861,803.0189035,44.59468262,,,,,
96.25,29.25,778.8643004,734.2489024,44.615398,,,,,
96.5,29.25,763.4078713,719.2277896,44.18008165,,,,,
96,29.5,764.0360843,724.1233465,39.91273782,,,,,
