x,y,Mean1,Mean2,Diff,,,,,,
77.5,29.5,766.3896429,717.7545455,48.6350974,,,,,,
78.5,29.5,942.945,832.7727273,110.1722727,,,,,,
79.5,29.5,1091.540714,910.3119318,181.2287825,,,,,,
80.5,29.5,1064.849286,883.8272727,181.022013,,,,,,
94.5,29.5,602.8082143,594.1982955,8.609918831,,,,,,
95.5,29.5,665.05,643.06875,21.98125,,,,,,
96.5,29.5,552.6664286,527.8267045,24.83972403,,,,,,
73.5,30.5,226.0328571,283.6102273,-57.57737013,,,,,,
74.5,30.5,321.1035714,371.4539773,-50.35040584,,,,,,
75.5,30.5,455.5825,476.7693182,-21.18681818,,,,,,
76.5,30.5,667.1085714,626.7517045,40.35686688,,,,,,
77.5,30.5,927.7689286,755.8602273,171.9087013,,,,,,
78.5,30.5,900.9146429,733.1085227,167.8061201,,,,,,
79.5,30.5,644.2485714,547.5375,96.71107143,,,,,,
80.5,30.5,429.0875,386.9181818,42.16931818,,,,,,
74.5,31.5,419.0671429,520.3539773,-101.2868344,,,,,,
75.5,31.5,602.045,624.1954545,-22.15045455,,,,,,
76.5,31.5,812.0075,708.675,103.3325,,,,,,
77.5,31.5,767.8214286,629.1897727,138.6316558,,,,,,
78.5,31.5,641.1171429,543.7670455,97.3500974,,,,,,
79.5,31.5,397.3835714,351.1954545,46.18811688,,,,,,
74.5,32.5,565.8535714,642.6323864,-76.77881494,,,,,,
75.5,32.5,639.6860714,652.7551136,-13.06904221,,,,,,
76.5,32.5,522.8771429,473.5517045,49.32543831,,,,,,
77.5,32.5,328.8592857,294.3306818,34.5286039,,,,,,
78.5,32.5,241.8467857,219.4017045,22.44508117,,,,,,
79.5,32.5,195.3592857,181.3948864,13.96439935,,,,,,
73.5,33.5,562.7607143,683.6698864,-120.9091721,,,,,,
74.5,33.5,481.1767857,533.8267045,-52.64991883,,,,,,
75.5,33.5,408.7992857,421.4227273,-12.62344156,,,,,,
76.5,33.5,246.135,243.3267045,2.808295455,,,,,,
77.5,33.5,163.4664286,160.8954545,2.570974026,,,,,,
