x,y,Mean1,Mean2,Diff,,,,,,,
69.5,22.5,455.7325,597.8854167,-142.1529167,,,,,,,
70.5,22.5,499.26,654.4260417,-155.1660417,,,,,,,
71.5,22.5,493.815,618.19375,-124.37875,,,,,,,
72.5,22.5,640.325,785.9572917,-145.6322917,,,,,,,
73.5,22.5,864.4925,962.1416667,-97.64916667,,,,,,,
74.5,22.5,746.47875,836.9864583,-90.50770833,,,,,,,
75.5,22.5,745.555,887.80625,-142.25125,,,,,,,
76.5,22.5,829.5075,996.4041667,-166.8966667,,,,,,,
77.5,22.5,951.27125,1131.06875,-179.7975,,,,,,,
78.5,22.5,949.4975,1143.666667,-194.1691667,,,,,,,
79.5,22.5,1083.46,1217.68125,-134.22125,,,,,,,
80.5,22.5,1190.56875,1233.573958,-43.00520833,,,,,,,
81.5,22.5,1110.8225,1064.552083,46.27041667,,,,,,,
82.5,22.5,1220.495,1128.667708,91.82729167,,,,,,,
83.5,22.5,1282.985,1184.669792,98.31520833,,,,,,,
84.5,22.5,1167.5475,1124.564583,42.98291667,,,,,,,
85.5,22.5,1079.7325,1063.552083,16.18041667,,,,,,,
86.5,22.5,1232.84,1232.969792,-0.129791667,,,,,,,
87.5,22.5,1245.05375,1370.083333,-125.0295833,,,,,,,
88.5,22.5,1292.84,1487.133333,-194.2933333,,,,,,,
92.5,22.5,2295.51125,2260.030208,35.48104167,,,,,,,
68.5,23.5,263.68375,299.0791667,-35.39541667,,,,,,,
69.5,23.5,292.3875,335.853125,-43.465625,,,,,,,
70.5,23.5,391.7525,448.6625,-56.91,,,,,,,
71.5,23.5,463.32,539.0979167,-75.77791667,,,,,,,
72.5,23.5,650.345,762.934375,-112.589375,,,,,,,
73.5,23.5,812.77875,907.8145833,-95.03583333,,,,,,,
74.5,23.5,873.2775,970.4614583,-97.18395833,,,,,,,
75.5,23.5,855.5325,942.4572917,-86.92479167,,,,,,,
76.5,23.5,758.3025,856.0416667,-97.73916667,,,,,,,
77.5,23.5,894.93625,1054.035417,-159.0991667,,,,,,,
78.5,23.5,975.35875,1161.685417,-186.3266667,,,,,,,
79.5,23.5,1021.72625,1150.555208,-128.8289583,,,,,,,
80.5,23.5,1018.51375,1067.586458,-49.07270833,,,,,,,
81.5,23.5,958.2725,952.95625,5.31625,,,,,,,
82.5,23.5,1060.7625,998.165625,62.596875,,,,,,,
83.5,23.5,1117.89,1009.533333,108.3566667,,,,,,,
84.5,23.5,1095.59625,1011.875,83.72125,,,,,,,
85.5,23.5,1187.34375,1118.435417,68.90833333,,,,,,,
86.5,23.5,1201.34125,1136.865625,64.475625,,,,,,,
87.5,23.5,1200.07625,1187.502083,12.57416667,,,,,,,
88.5,23.5,1147.0275,1194.320833,-47.29333333,,,,,,,
91.5,23.5,1905.925,1889.357292,16.56770833,,,,,,,
92.5,23.5,2159.2225,2140.33125,18.89125,,,,,,,
93.5,23.5,2080.77,2038.079167,42.69083333,,,,,,,
68.5,24.5,185.145,192.8916667,-7.746666667,,,,,,,
69.5,24.5,231.23375,255.8375,-24.60375,,,,,,,
70.5,24.5,279.12875,310.7458333,-31.61708333,,,,,,,
71.5,24.5,376.73,420.5385417,-43.80854167,,,,,,,
72.5,24.5,540.05125,599.7958333,-59.74458333,,,,,,,
73.5,24.5,585.61125,645.4979167,-59.88666667,,,,,,,
74.5,24.5,726.225,800.9572917,-74.73229167,,,,,,,
75.5,24.5,765.935,840.75625,-74.82125,,,,,,,
76.5,24.5,727.995,808.4322917,-80.43729167,,,,,,,
77.5,24.5,843.22125,958.7270833,-115.5058333,,,,,,,
78.5,24.5,896.63375,1044.623958,-147.9902083,,,,,,,
79.5,24.5,945.8775,1050.058333,-104.1808333,,,,,,,
80.5,24.5,961.29,1000.361458,-39.07145833,,,,,,,
81.5,24.5,949.52,938.1416667,11.37833333,,,,,,,
82.5,24.5,943.49375,891.1614583,52.33229167,,,,,,,
83.5,24.5,959.38375,865.9395833,93.44416667,,,,,,,
84.5,24.5,1023.96875,886.3364583,137.6322917,,,,,,,
85.5,24.5,1078.08875,942.103125,135.985625,,,,,,,
86.5,24.5,1139.05625,1003.41875,135.6375,,,,,,,
87.5,24.5,1233.73875,1115.436458,118.3022917,,,,,,,
88.5,24.5,1310.0775,1258.520833,51.55666667,,,,,,,
91.5,24.5,2214.6975,2195.090625,19.606875,,,,,,,
92.5,24.5,2327.45625,2274.905208,52.55104167,,,,,,,
93.5,24.5,1682.65125,1642.735417,39.91583333,,,,,,,
94.5,24.5,1371.1275,1337.842708,33.28479167,,,,,,,
70.5,25.5,198.1425,219.5458333,-21.40333333,,,,,,,
71.5,25.5,254.505,284.40625,-29.90125,,,,,,,
72.5,25.5,346.09375,388.1208333,-42.02708333,,,,,,,
73.5,25.5,435.02625,483.3729167,-48.34666667,,,,,,,
74.5,25.5,531.23375,587.671875,-56.438125,,,,,,,
75.5,25.5,641.805,708.0677083,-66.26270833,,,,,,,
76.5,25.5,737.24,811.7552083,-74.51520833,,,,,,,
77.5,25.5,769.445,861.5229167,-92.07791667,,,,,,,
78.5,25.5,762.42375,875.1729167,-112.7491667,,,,,,,
79.5,25.5,810.5075,880.6739583,-70.16645833,,,,,,,
80.5,25.5,851.21875,872.3260417,-21.10729167,,,,,,,
81.5,25.5,869.18625,838.0125,31.17375,,,,,,,
82.5,25.5,901.27125,832.7625,68.50875,,,,,,,
83.5,25.5,971,841.9333333,129.0666667,,,,,,,
84.5,25.5,1050.1025,870.134375,179.968125,,,,,,,
85.5,25.5,1115.5325,906.259375,209.273125,,,,,,,
86.5,25.5,1177.16,966.521875,210.638125,,,,,,,
87.5,25.5,1406.5625,1236.109375,170.453125,,,,,,,
88.5,25.5,1647.6275,1548.535417,99.09208333,,,,,,,
90.5,25.5,2313.47375,2338.423958,-24.95020833,,,,,,,
91.5,25.5,3256.15875,3286.072917,-29.91416667,,,,,,,
92.5,25.5,2492.44125,2460.801042,31.64020833,,,,,,,
93.5,25.5,1572.3775,1534.025,38.3525,,,,,,,
94.5,25.5,1487.735,1455.414583,32.32041667,,,,,,,
70.5,26.5,158.7675,166.7520833,-7.984583333,,,,,,,
71.5,26.5,199.485,208.0458333,-8.560833333,,,,,,,
72.5,26.5,255.61375,276.803125,-21.189375,,,,,,,
73.5,26.5,333.97875,371.3447917,-37.36604167,,,,,,,
74.5,26.5,442.39,497.228125,-54.838125,,,,,,,
75.5,26.5,539.9625,603.575,-63.6125,,,,,,,
76.5,26.5,627.7425,707.7125,-79.97,,,,,,,
77.5,26.5,650.96125,734.0552083,-83.09395833,,,,,,,
78.5,26.5,651.99625,741.4135417,-89.41729167,,,,,,,
79.5,26.5,714.01625,763.8510417,-49.83479167,,,,,,,
80.5,26.5,798.2975,782.9625,15.335,,,,,,,
81.5,26.5,920.65625,842.725,77.93125,,,,,,,
82.5,26.5,1052.0775,967.28125,84.79625,,,,,,,
83.5,26.5,1214.70125,1098.835417,115.8658333,,,,,,,
84.5,26.5,1382.1175,1191.111458,191.0060417,,,,,,,
85.5,26.5,1409.40625,1158.411458,250.9947917,,,,,,,
86.5,26.5,1382.3,1165.884375,216.415625,,,,,,,
87.5,26.5,1680.8225,1517.166667,163.6558333,,,,,,,
88.5,26.5,2124.61,2030.270833,94.33916667,,,,,,,
89.5,26.5,2188.26625,2182.164583,6.101666667,,,,,,,
90.5,26.5,1937.38125,1997.919792,-60.53854167,,,,,,,
91.5,26.5,1722.76875,1793.882292,-71.11354167,,,,,,,
92.5,26.5,1613.285,1593.075,20.21,,,,,,,
93.5,26.5,1542.92125,1492.786458,50.13479167,,,,,,,
94.5,26.5,1541.81625,1481.780208,60.03604167,,,,,,,
95.5,26.5,1418.325,1383.65,34.675,,,,,,,
69.5,27.5,96.8425,104.459375,-7.616875,,,,,,,
70.5,27.5,129.945,138.4145833,-8.469583333,,,,,,,
71.5,27.5,169.48125,170.51875,-1.0375,,,,,,,
72.5,27.5,216.73,209.7229167,7.007083333,,,,,,,
73.5,27.5,278.45,276.19375,2.25625,,,,,,,
74.5,27.5,365.0975,373.425,-8.3275,,,,,,,
75.5,27.5,442.1225,479.4520833,-37.32958333,,,,,,,
76.5,27.5,508.44875,598.4041667,-89.95541667,,,,,,,
77.5,27.5,557.08875,664.9645833,-107.8758333,,,,,,,
78.5,27.5,642.7375,715.3125,-72.575,,,,,,,
79.5,27.5,782.31625,775.971875,6.344375,,,,,,,
80.5,27.5,980.86875,867.9552083,112.9135417,,,,,,,
81.5,27.5,1156.5425,1013.371875,143.170625,,,,,,,
82.5,27.5,1391.0625,1223.057292,168.0052083,,,,,,,
83.5,27.5,1699.275,1515.977083,183.2979167,,,,,,,
84.5,27.5,1969.21875,1810.069792,159.1489583,,,,,,,
88.5,27.5,1454.13625,1427.089583,27.04666667,,,,,,,
89.5,27.5,1359.39875,1400.070833,-40.67208333,,,,,,,
90.5,27.5,1518.705,1616.720833,-98.01583333,,,,,,,
91.5,27.5,1475.485,1551.801042,-76.31604167,,,,,,,
92.5,27.5,1296.41875,1307.266667,-10.84791667,,,,,,,
93.5,27.5,1393.30125,1371.392708,21.90854167,,,,,,,
94.5,27.5,1493.53,1434.494792,59.03520833,,,,,,,
95.5,27.5,1477.88,1432.66875,45.21125,,,,,,,
96.5,27.5,1205.4375,1218,-12.5625,,,,,,,
97.5,27.5,1091.3625,1140.651042,-49.28854167,,,,,,,
70.5,28.5,101.73125,112.5520833,-10.82083333,,,,,,,
71.5,28.5,129.24625,138.1020833,-8.855833333,,,,,,,
72.5,28.5,172.18125,174.7510417,-2.569791667,,,,,,,
73.5,28.5,227.58125,221.7020833,5.879166667,,,,,,,
74.5,28.5,290.5775,293.5052083,-2.927708333,,,,,,,
75.5,28.5,355.51625,385.2052083,-29.68895833,,,,,,,
76.5,28.5,446.68875,531.996875,-85.308125,,,,,,,
77.5,28.5,575.73875,693.2041667,-117.4654167,,,,,,,
78.5,28.5,758.0325,780.234375,-22.201875,,,,,,,
79.5,28.5,1024.37375,900.7635417,123.6102083,,,,,,,
80.5,28.5,1302.1675,1054.814583,247.3529167,,,,,,,
81.5,28.5,1325.505,1108.1875,217.3175,,,,,,,
88.5,28.5,902.04375,938.2895833,-36.24583333,,,,,,,
91.5,28.5,803.055,854.3625,-51.3075,,,,,,,
92.5,28.5,752.5625,775.2270833,-22.66458333,,,,,,,
93.5,28.5,892.6175,899.709375,-7.091875,,,,,,,
94.5,28.5,1069.53375,1068.260417,1.273333333,,,,,,,
95.5,28.5,1041.365,1030.657292,10.70770833,,,,,,,
96.5,28.5,813.56625,827.6989583,-14.13270833,,,,,,,
97.5,28.5,666.055,696.6885417,-30.63354167,,,,,,,
72.5,29.5,150.0675,167.8895833,-17.82208333,,,,,,,
73.5,29.5,196.4725,216.009375,-19.536875,,,,,,,
74.5,29.5,272.61375,282.8770833,-10.26333333,,,,,,,
75.5,29.5,355.80625,388.840625,-33.034375,,,,,,,
76.5,29.5,479.9475,555.8458333,-75.89833333,,,,,,,
77.5,29.5,738.64125,714.39375,24.2475,,,,,,,
78.5,29.5,919.6425,801.5822917,118.0602083,,,,,,,
79.5,29.5,1071.88375,847.2354167,224.6483333,,,,,,,
80.5,29.5,1050.225,833.1135417,217.1114583,,,,,,,
94.5,29.5,605.47375,633.9208333,-28.44708333,,,,,,,
95.5,29.5,664.79125,686.4916667,-21.70041667,,,,,,,
96.5,29.5,549.23125,567.346875,-18.115625,,,,,,,
73.5,30.5,230.69375,286.5041667,-55.81041667,,,,,,,
74.5,30.5,320.735,364.9833333,-44.24833333,,,,,,,
75.5,30.5,441.46875,487.5020833,-46.03333333,,,,,,,
76.5,30.5,647.62375,630.8729167,16.75083333,,,,,,,
77.5,30.5,925.8625,732.0760417,193.7864583,,,,,,,
78.5,30.5,904.99625,692.2552083,212.7410417,,,,,,,
79.5,30.5,650.8125,501.85,148.9625,,,,,,,
80.5,30.5,433.63625,351.7229167,81.91333333,,,,,,,
74.5,31.5,418.3575,529.8427083,-111.4852083,,,,,,,
75.5,31.5,583.39875,631.5125,-48.11375,,,,,,,
76.5,31.5,806.8775,704.3895833,102.4879167,,,,,,,
77.5,31.5,781.24875,615.2427083,166.0060417,,,,,,,
78.5,31.5,662.27625,513.0875,149.18875,,,,,,,
79.5,31.5,414.685,320.3739583,94.31104167,,,,,,,
74.5,32.5,553.4,661.9229167,-108.5229167,,,,,,,
75.5,32.5,629.33625,662.9458333,-33.60958333,,,,,,,
76.5,32.5,529.70875,476.075,53.63375,,,,,,,
77.5,32.5,336.60625,288.828125,47.778125,,,,,,,
78.5,32.5,251.27375,207.5520833,43.72166667,,,,,,,
79.5,32.5,206.74125,165.575,41.16625,,,,,,,
73.5,33.5,555.0525,715.6354167,-160.5829167,,,,,,,
74.5,33.5,474.96375,547.0177083,-72.05395833,,,,,,,
75.5,33.5,409.6475,431.0583333,-21.41083333,,,,,,,
76.5,33.5,253.53625,246.503125,7.033125,,,,,,,
77.5,33.5,168.90375,157.8197917,11.08395833,,,,,,,
78.5,33.5,124.3975,111.4177083,12.97979167,,,,,,,
79.5,33.5,110.24125,95.29479167,14.94645833,,,,,,,
73.5,34.5,407.19125,513.2,-106.00875,,,,,,,
74.5,34.5,299.865,343.1895833,-43.32458333,,,,,,,
75.5,34.5,186.93,204.1322917,-17.20229167,,,,,,,
76.5,34.5,133.25875,138.6489583,-5.390208333,,,,,,,
77.5,34.5,76.42125,76.19166667,0.229583333,,,,,,,
78.5,34.5,33.90125,32.72395833,1.177291667,,,,,,,
79.5,34.5,12.68875,12.14270833,0.546041667,,,,,,,
73.5,35.5,176.535,233.5302083,-56.99520833,,,,,,,
74.5,35.5,132.8475,169.14375,-36.29625,,,,,,,
75.5,35.5,91.18,107.9541667,-16.77416667,,,,,,,
76.5,35.5,36.8475,41.13020833,-4.282708333,,,,,,,
77.5,35.5,10.87625,11.84895833,-0.972708333,,,,,,,
78.5,35.5,5.375,5.719791667,-0.344791667,,,,,,,
79.5,35.5,3.84125,3.948958333,-0.107708333,,,,,,,
80.5,35.5,2.85,2.755208333,0.094791667,,,,,,,
72.5,36.5,104.6275,139.090625,-34.463125,,,,,,,
73.5,36.5,87.8525,114.6927083,-26.84020833,,,,,,,
74.5,36.5,60.05,78.39791667,-18.34791667,,,,,,,
75.5,36.5,25.98875,35.22604167,-9.237291667,,,,,,,
78.5,36.5,4.3625,4.967708333,-0.605208333,,,,,,,
79.5,36.5,12.13125,13.80833333,-1.677083333,,,,,,,
