x,y,Mean1,Mean2,Diff,,,,,,,
91.75,26.75,1765.445026,1782.316032,-16.87100613,,,,,,,
92,26.75,1697.540023,1712.020029,-14.48000562,,,,,,,
92.25,26.75,1629.635021,1641.724026,-12.08900511,,,,,,,
92.5,26.75,1591.677527,1599.190027,-7.51249999,,,,,,,
92.75,26.75,1553.720033,1556.656027,-2.935994873,,,,,,,
93,26.75,1547.657528,1546.024025,1.633502388,,,,,,,
93.25,26.75,1541.595023,1535.392023,6.202999649,,,,,,,
93.5,26.75,1543.412523,1532.134025,11.2784976,,,,,,,
93.75,26.75,1545.230023,1528.876027,16.35399555,,,,,,,
94,26.75,1558.337523,1537.318028,21.01949517,,,,,,,
94.25,26.75,1571.445022,1545.760028,25.68499479,,,,,,,
94.5,26.75,1572.202523,1545.570027,26.63249564,,,,,,,
94.75,26.75,1572.960023,1545.380027,27.57999649,,,,,,,
95,26.75,1478.000022,1458.112024,19.88799743,,,,,,,
95.25,26.75,1383.04002,1370.844022,12.19599836,,,,,,,
95.5,26.75,1372.882522,1368.122024,4.760498009,,,,,,,
88,27,1970.898786,1813.635034,157.2637522,,,,,,,
88.25,27,2006.792537,1865.454036,141.3385009,,,,,,,
88.5,27,2072.366287,1946.994033,125.3722541,,,,,,,
88.75,27,2137.940037,2028.53403,109.4060073,,,,,,,
89,27,2072.020037,1988.809033,83.21100353,,,,,,,
92,27,1634.660026,1661.092028,-26.43200134,,,,,,,
92.25,27,1564.980023,1588.856024,-23.87600147,,,,,,,
92.5,27,1555.317527,1574.505024,-19.18749706,,,,,,,
92.75,27,1545.655031,1560.154023,-14.49899265,,,,,,,
93,27,1527.175029,1535.224023,-8.048993745,,,,,,,
93.25,27,1508.695027,1510.294022,-1.598994837,,,,,,,
93.5,27,1510.746277,1505.995024,4.751253681,,,,,,,
93.75,27,1512.797527,1501.696025,11.1015022,,,,,,,
94,27,1537.066277,1518.939025,18.12725189,,,,,,,
94.25,27,1561.335028,1536.182026,25.15300158,,,,,,,
94.5,27,1571.005026,1542.234027,28.77099878,,,,,,,
94.75,27,1580.675024,1548.286028,32.38899599,,,,,,,
